1.5;Meer van hetzelfde en nog 'onbeskofter'. Op dit laatste is komiek Jandino Asporaat kennelijk behoorlijk trots.;Bon Bini Holland 2
3.5;"Visueel overdonderend, fantastische actie en cheesy oneliners; Aquaman is geen meesterwerk maar allesbehalve suf.";Aquaman
5.0;De Mexicaanse cineast Alfonso Cuarón brengt zijn publiek in vervoering met een meesterlijke sfeerschets van de seventies.;Roma
4.0;In dit vervolg is het internet het strijdtoneel van vele dwaze verwikkelingen met heerlijke humor en vooral zelfspot.;Ralph Breaks the Internet
5.0;Een stelende surrogaatfamilie was nog nooit zo warm.;Shoplifters
3.0;Zingend en dansend de ondergang van de wereld tegemoet? Het is mogelijk in deze plezierige musical-zombiekomedie.;Anna and the Apocalypse
3.0;Mierzoete, maar sympathieke boekverfilming met een hoog Amélie-gehalte.;The Extraordinary Journey of the Fakir
4.0;Een alleenstaande vader wil zijn dochter vaker zien. Maar dat is in dit drama met donkere humor niet heel eenvoudig.;All Alone
4.0;Duisterder en diepgaander dan Disneys versie uit 2016, maar toch de pech het nakomertje te zijn.;Mowgli: Legend of the Jungle
3.0;In de toekomst lopen de steden op rolletjes, maar de film daarover verloopt een beetje stroef.;Mortal Engines
5.0;Perfect liefdesverhaal van twee geliefden die niet zonder, maar eigenlijk ook niet met elkaar kunnen.;Cold War
3.5;Als de Russen het niet aandurven de Koersk-ramp te verfilmen, dan moeten de Europeanen het maar doen.;Kursk
2.0;Deze romantische mozaïekfilm in de stijl van Alles is Liefde zit bomvol stereotypes.;All You Need is Love
2.0;Het geruchtmakende proces tegen Nelson Mandela en zijn medestrijders wordt aan de hand van geluidsopnames herbeleefd.;The State Against Mandela and the Others
2.0;De eerste Hollywoodfilm van Diederik van Rooijen wil méér zijn dan gewoon een spannende duiveluitdrijvingshorror.;The Possession of Hannah Grace
4.0;Een diep ontroerende film over de relatie tussen vader en zoon die op de proef wordt gesteld door een drugsverslaving.;Beautiful Boy
2.5;Deze biopic over Astrid Lindgren gaat bijzonder weinig over Astrid Lindgren.;Becoming Astrid
3.5;Eigenaardige arthousefilm over monsters en taboe klampt zich vast aan een mooi thema in plaats van een verhaal.;Good Manners
4.0;Een ontluisterende kijk op het traject richting dankbaar doch ondergewaardeerd werk.;De Chaque Instant
2.0;Mislukte poging om het verhaal over de filantropische boogschutter nieuw leven in te blazen.;Robin Hood
